comment_id,index,sentiment_confidence,sentiment_margin,sentiment_entropy,respect_confidence,respect_margin,respect_entropy,insult_confidence,insult_margin,insult_entropy,humiliate_confidence,humiliate_margin,humiliate_entropy,status_confidence,status_margin,status_entropy,dehumanize_confidence,dehumanize_margin,dehumanize_entropy,violence_confidence,violence_margin,violence_entropy,genocide_confidence,genocide_margin,genocide_entropy,attack_defend_confidence,attack_defend_margin,attack_defend_entropy,hatespeech_confidence,hatespeech_margin,hatespeech_entropy
29,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26745,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29783,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27140,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36829,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29107,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9430,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40281,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5458,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15462,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42901,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33856,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28859,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11064,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40048,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12063,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34562,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23957,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42325,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23629,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10076,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21238,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7289,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12292,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34131,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7644,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41970,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28228,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38359,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27447,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13949,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36573,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9218,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4844,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4511,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20984,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25869,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24745,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41554,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37565,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7328,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18630,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16158,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6732,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46569,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46119,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28836,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18341,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7856,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33238,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46434,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15513,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23658,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47250,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7782,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34603,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6770,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43431,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10724,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15919,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40261,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29505,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11624,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21725,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22602,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12046,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19244,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3519,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20816,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35967,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49507,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20142,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20444,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24678,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40697,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
